Application Number,Application Date,Application Type,Address,Object Status Type,Application Status,File Lead,Brief Description,Object Status Date,Ward #,Ward,
D07-12-20-0036,2020-04-02,Site Plan Control,130 CENTRAL PARK Drive,Agreement Registered - Final Legal Clearance Given,Post Approval,Kelby Lodoen Unseth,"The application is for two new senior residences, to complete a previously approved site plan.  The proposal includes one 8-storey building and one 10-storey building.  The gross floor area of the two new buildings combined is 3,810 sq.m..",2022-01-18 08:31,Ward 16,RIVER,
D07-12-20-0036,2020-04-02,Site Plan Control,136 CENTRAL PARK Drive,Agreement Registered - Final Legal Clearance Given,Post Approval,Kelby Lodoen Unseth,"The application is for two new senior residences, to complete a previously approved site plan.  The proposal includes one 8-storey building and one 10-storey building.  The gross floor area of the two new buildings combined is 3,810 sq.m..",2022-01-18 08:31,Ward 16,RIVER,
D07-12-20-0037,2020-04-09,Site Plan Control,1055 CEDAR CREEK Drive,Agreement Registered - Securities Held,Post Approval,Kelby Lodoen Unseth,"A Site Plan Control application to construct 7 buildings, including: two 18-unit apartment buildings, four 12-unit back-to-back stacked terrace home buildings, and one 8-unit back-to-back stacked terrace home building. The buildings will range in height from 3.5-storeys to 4-storeys.",2021-12-17 11:53,Ward 22,RIVERSIDE SOUTH-FINDLAY CREEK,
D07-12-20-0040,2020-04-14,Site Plan Control,114 ISABELLA Street,Receipt of Agreement from Owner Pending,Post Approval,Jean-Charles Renaud,"Seven storey mixed use containing 19 apartments, one bank machine and no parking.",2021-09-28 09:37,Ward 17,CAPITAL,
D02-02-20-0017,2020-03-05,Zoning By-law Amendment,26 AYLMER Avenue,Application File Pending,File Pending,Steve Gauthier,"convert existing single detached into triplex, all changes will be interior",2021-02-21 19:11,Ward 17,CAPITAL,
D07-12-20-0027,2020-03-13,Site Plan Control,1380 UPPER CANADA Street,Agreement Registered - Final Legal Clearance Given,Post Approval,Kathy Rygus,Site Plan Control application for a 2-storey medical building with diagnostic imaging center and pharmacy,2021-05-11 15:37,Ward 4,KANATA NORTH,
D07-12-20-0041,2020-04-16,Site Plan Control,2583 BOND Street,,Active,Wendy Tse,"The City of Ottawa has received a concurrent Official Plan Amendment, Zoning By-law Amendment and Site Plan Control application to permit a 11-storey and a 12-storey building containing a total of 391 apartment units and a commercial unit at grade facing Richmond Road.",2020-09-03 17:28,Ward 7,BAY,
D07-12-20-0041,2020-04-16,Site Plan Control,2583 BOND Street,,Active,Wendy Tse,"The City of Ottawa has received a concurrent Official Plan Amendment, Zoning By-law Amendment and Site Plan Control application to permit a 11-storey and a 12-storey building containing a total of 391 apartment units and a commercial unit at grade facing Richmond Road.",2020-09-03 17:28,Ward 7,BAY,
D07-12-20-0041,2020-04-16,Site Plan Control,2589 BOND Street,,Active,Wendy Tse,"The City of Ottawa has received a concurrent Official Plan Amendment, Zoning By-law Amendment and Site Plan Control application to permit a 11-storey and a 12-storey building containing a total of 391 apartment units and a commercial unit at grade facing Richmond Road.",2020-09-03 17:28,Ward 7,BAY,
D07-12-20-0041,2020-04-16,Site Plan Control,365 FOREST Street,,Active,Wendy Tse,"The City of Ottawa has received a concurrent Official Plan Amendment, Zoning By-law Amendment and Site Plan Control application to permit a 11-storey and a 12-storey building containing a total of 391 apartment units and a commercial unit at grade facing Richmond Road.",2020-09-03 17:28,Ward 7,BAY,
D07-12-20-0041,2020-04-16,Site Plan Control,1420 RICHMOND Road,,Active,Wendy Tse,"The City of Ottawa has received a concurrent Official Plan Amendment, Zoning By-law Amendment and Site Plan Control application to permit a 11-storey and a 12-storey building containing a total of 391 apartment units and a commercial unit at grade facing Richmond Road.",2020-09-03 17:28,Ward 7,BAY,
D02-02-20-0029,2020-04-16,Zoning By-law Amendment,2583 BOND Street,Zoning By-law in Effect,Inactive,Wendy Tse,"The City of Ottawa has received a concurrent Official Plan Amendment, Zoning By-law Amendment and Site Plan Control application to permit a 11-storey and a 12-storey building containing a total of 391 apartment units and a commercial unit at grade facing Richmond Road.",2023-05-18 08:39,Ward 7,BAY,
D02-02-20-0029,2020-04-16,Zoning By-law Amendment,2583 BOND Street,Zoning By-law in Effect,Inactive,Wendy Tse,"The City of Ottawa has received a concurrent Official Plan Amendment, Zoning By-law Amendment and Site Plan Control application to permit a 11-storey and a 12-storey building containing a total of 391 apartment units and a commercial unit at grade facing Richmond Road.",2023-05-18 08:39,Ward 7,BAY,
D02-02-20-0029,2020-04-16,Zoning By-law Amendment,2589 BOND Street,Zoning By-law in Effect,Inactive,Wendy Tse,"The City of Ottawa has received a concurrent Official Plan Amendment, Zoning By-law Amendment and Site Plan Control application to permit a 11-storey and a 12-storey building containing a total of 391 apartment units and a commercial unit at grade facing Richmond Road.",2023-05-18 08:39,Ward 7,BAY,
D02-02-20-0029,2020-04-16,Zoning By-law Amendment,365 FOREST Street,Zoning By-law in Effect,Inactive,Wendy Tse,"The City of Ottawa has received a concurrent Official Plan Amendment, Zoning By-law Amendment and Site Plan Control application to permit a 11-storey and a 12-storey building containing a total of 391 apartment units and a commercial unit at grade facing Richmond Road.",2023-05-18 08:39,Ward 7,BAY,
D02-02-20-0029,2020-04-16,Zoning By-law Amendment,1420 RICHMOND Road,Zoning By-law in Effect,Inactive,Wendy Tse,"The City of Ottawa has received a concurrent Official Plan Amendment, Zoning By-law Amendment and Site Plan Control application to permit a 11-storey and a 12-storey building containing a total of 391 apartment units and a commercial unit at grade facing Richmond Road.",2023-05-18 08:39,Ward 7,BAY,
D07-12-20-0044,2020-04-22,Site Plan Control,1995 CARLING Avenue,Application File Pending,File Pending,Laurel Mccreight,Proposing a 27 storey residential high-rise apartment building containing 210 units (80 1bed/1302bed),2020-07-13 10:53,Ward 7,BAY,
D02-02-20-0030,2020-04-22,Zoning By-law Amendment,1995 CARLING Avenue,Application File Pending,File Pending,Laurel Mccreight,Proposing a 27 storey residential high-rise apartment building containing 210 units and six levels of underground parking.,2020-06-08 10:54,Ward 7,BAY,
D07-12-21-0189,2021-11-05,Site Plan Control,609 BORTHWICK Avenue,Community Heads Up - supporting documents to be posted later during circulation period,Active,Jean-Charles Renaud,New residential building of 9 storeys with 57 resdential units ranging between 3 1/2 (1 Bed) and 4 1/2 {2 beds). Twenty percent (20%) of the residentail units will be affordable according to CMHC affordable housing policy. There will be two levels of parking underground.,2023-05-18 14:41,Ward 13,RIDEAU-ROCKCLIFFE,
D07-12-21-0189,2021-11-05,Site Plan Control,"630 MONTREAL, CH DE ",Community Heads Up - supporting documents to be posted later during circulation period,Active,Jean-Charles Renaud,New residential building of 9 storeys with 57 resdential units ranging between 3 1/2 (1 Bed) and 4 1/2 {2 beds). Twenty percent (20%) of the residentail units will be affordable according to CMHC affordable housing policy. There will be two levels of parking underground.,2023-05-18 14:41,Ward 13,RIDEAU-ROCKCLIFFE,
D07-12-21-0190,2021-11-05,Site Plan Control,706 MARCH Road,Notice of Decision Sent,Inactive,Lisa Stern,"Redevelop the lot with a large format retail food store (Metro) facing March Road and two commercial out-parcel buildings. Including associated drive aisles, parking, loading and landscaping. Please refer to enclosed Site Plan and Planning Rationale for details.",2023-03-28 09:05,Ward 4,KANATA NORTH,
D07-12-21-0165,2021-10-19,Site Plan Control,817 ROSEVIEW Avenue,Additional Submission Circulation Period Completed,Active,Molly Smith,"Four and a half storey, 20 unit, low-rise rental apartment with an associated parking lot containing 18 at-grade vehicle parking spaces
(16 parking spaces for residents and 2 spaces for visitors). A total of 16 stacked bicycle parking spaces will be provided in a bicycle
storage room located in the basement of the building. The building be serviced by an elevator.",2023-04-18 15:25,Ward 7,BAY,
D02-02-21-0129,2021-10-19,Zoning By-law Amendment,817 ROSEVIEW Avenue,Zoning By-law in Effect,Inactive,Molly Smith,"- Increase permitted maximum building height from 11.0 m to 14.32 m
- Reduce the minimum required resident vehicle parking required from 23 parking spaces to 16 parking spaces
- Reduce the minimum required visitor vehicle parking required from 4 parking spaces to 2 parking spaces
- Reduce the minimum required distance required of canopies from the side lot line from 0.60 m to 0.15 m
- Reduce the minimum required parking lot landscape buffer width from 1.5 m to 0.78 m",2022-12-07 08:46,Ward 7,BAY,
D02-02-21-0130,2021-10-20,Zoning By-law Amendment,360 FRIEL Street,Zoning By-law in Effect,Inactive,Seana Turkington,"The City of Ottawa has received a Zoning By-law Amendment and Site Plan Control applications to construct a three-storey addition to the existing 2.5-storey residential building located on the property, providing a total of 17 dwelling units.",2022-09-29 11:30,Ward 12,RIDEAU-VANIER,
D07-12-21-0166,2021-10-20,Site Plan Control,360 FRIEL Street,Agreement sent to applicant,Post Approval,Seana Turkington,"The City of Ottawa has received a Zoning By-law Amendment and Site Plan Control applications to construct a three-storey addition to the existing 2.5-storey residential building located on the property, providing a total of 17 dwelling units.",2023-04-03 17:50,Ward 12,RIDEAU-VANIER,
D07-12-21-0167,2021-10-21,Site Plan Control,395 SLATER Street,Request for Agreement Received,Post Approval,Andrew Mccreight,A Site Plan Control application has been submitted to construct a 35-storey mixed-use building containing approximately 230 hotel rooms and 270 residential dwelling units. Below grade parking provides 172 vehicular parking spaces and 135 bicycle parking spaces.,2022-08-12 11:48,Ward 14,SOMERSET,
D07-12-21-0167,2021-10-21,Site Plan Control,395 SLATER Street,Request for Agreement Received,Post Approval,Andrew Mccreight,A Site Plan Control application has been submitted to construct a 35-storey mixed-use building containing approximately 230 hotel rooms and 270 residential dwelling units. Below grade parking provides 172 vehicular parking spaces and 135 bicycle parking spaces.,2022-08-12 11:48,Ward 14,SOMERSET,
D01-01-21-0023,2021-10-21,Official Plan Amendment,2025 OTHELLO Avenue,Application File Pending,File Pending,Tracey Scaramozzino,Amend height permissions on a site-specific basis relative to the maximum height permitted on Arterial Mainstreets.,2021-12-07 11:44,Ward 18,ALTA VISTA,
D02-02-21-0131,2021-10-21,Zoning By-law Amendment,2025 OTHELLO Avenue,Application File Pending,File Pending,Tracey Scaramozzino,"The proposed Zoning By-law Amendment proposes to omend the existing zoning, Arteriol Mainstreet, Subzone 7O, Exception 221Q denoted
os AM70 [2210] to focilitate increose building heights on the lands. A new site-specific zoning schedule will estoblish permitted building
heights os required for the development as proposed.",2021-12-06 11:35,Ward 18,ALTA VISTA,
D07-12-21-0172,2021-10-26,Site Plan Control,330 MCLEOD Street,Additional Submission Review Required,Active,Eric Forhan,"The development proposes to maintain the existing, 48-unit rooming house and construct a four-and-a-half storey rear addition.",2022-12-19 11:32,Ward 14,SOMERSET,
D07-12-21-0171,2021-10-26,Site Plan Control,233 ARGYLE Avenue,Additional Submission Deemed Adequate,Active,Eric Forhan,The development proposes to maintain the existing heritage building and construct a three-storey rear addition.,2022-12-23 11:18,Ward 14,SOMERSET,
D02-02-21-0133,2021-10-26,Zoning By-law Amendment,233 ARGYLE Avenue,Comment Period has Ended/Issue Resolution,Active,Eric Forhan,"The Zoning By-law Amendment proposes to maintain the Residential Fourth Density, Subzone UD (R4UD) zoning of the site and to introduce new site-specific provisions to address the number of two-bedroom units, proposed number of vehicle spaces, interior side yard setbacks, maximum building height and rear yard amenity space.",2022-12-24 08:36,Ward 14,SOMERSET,
D02-02-21-0133,2021-10-26,Zoning By-law Amendment,330 MCLEOD Street,Comment Period has Ended/Issue Resolution,Active,Eric Forhan,"The Zoning By-law Amendment proposes to maintain the Residential Fourth Density, Subzone UD (R4UD) zoning of the site and to introduce new site-specific provisions to address the number of two-bedroom units, proposed number of vehicle spaces, interior side yard setbacks, maximum building height and rear yard amenity space.",2022-12-24 08:36,Ward 14,SOMERSET,
